metric,raw_value,normalized_value
Current Sharpe,0.28307692994746164,0.4128117008333466
Optimal Sharpe,1.782338975266195,1.0
Current Volatility,0.20152031926478628,0.17627414833070795
Optimal Volatility,0.20956872272994423,0.21321952944259986
