date,volatility
2023-12-18,0.10549672721646809
2023-12-19,0.10406821476492449
2023-12-20,0.105082298271554
2023-12-21,0.117092754788111
2023-12-22,0.12397588202928697
2023-12-26,0.11081056118332638
2023-12-27,0.11085570571638782
2023-12-28,0.11592858919954133
2023-12-29,0.11320015112736702
2024-01-02,0.10797391056119819
2024-01-03,0.1072188937515559
2024-01-04,0.10933220214021672
2024-01-05,0.10891085798972304
2024-01-08,0.11189182825280401
2024-01-09,0.11503575472462417
2024-01-10,0.11822160977013106
2024-01-11,0.11638385315852763
2024-01-12,0.11629469385682713
2024-01-16,0.11657525650136433
2024-01-17,0.12422080874486659
2024-01-18,0.1350186051239516
2024-01-19,0.13518761360220344
2024-01-22,0.13502709623751144
2024-01-23,0.13216503671397603
2024-01-24,0.1389243854495129
2024-01-25,0.14047336728419216
2024-01-26,0.1404861170396297
2024-01-29,0.14029557511092178
2024-01-30,0.1389205017804418
2024-01-31,0.13992929573160054
2024-02-01,0.1489601965792378
2024-02-02,0.14862174337606646
2024-02-05,0.14879396270772263
2024-02-06,0.14193143212907902
2024-02-07,0.14146184403849327
2024-02-08,0.1450247118821376
2024-02-09,0.14549464979922264
2024-02-12,0.13993833003933087
2024-02-13,0.13789479906962301
2024-02-14,0.14256772554694558
2024-02-15,0.150887029972671
2024-02-16,0.14941267729501814
2024-02-20,0.14954161489790396
2024-02-21,0.14978996418151727
2024-02-22,0.1510538126395287
2024-02-23,0.1514348375703211
2024-02-26,0.15349372867778718
2024-02-27,0.15290606312184485
2024-02-28,0.15454270615855856
2024-02-29,0.15612872557910715
2024-03-01,0.15062490196075043
2024-03-04,0.1533399675356583
2024-03-05,0.16323708762234487
2024-03-06,0.16526225592064248
2024-03-07,0.1933990194023157
2024-03-08,0.19228056173572197
2024-03-11,0.19296361521564404
2024-03-12,0.1968347709919624
2024-03-13,0.2029930089288581
2024-03-14,0.2021495090230825
2024-03-15,0.19637114971139707
2024-03-18,0.1962818575214421
2024-03-19,0.19300592594635993
2024-03-20,0.19193842705075398
2024-03-21,0.18798853658551418
2024-03-22,0.1898450341289568
2024-03-25,0.2000548052196597
2024-03-26,0.20017995575313963
2024-03-27,0.20032743301350076
2024-03-28,0.19537078863341892
2024-04-01,0.1911809267570951
2024-04-02,0.19018941108286555
2024-04-03,0.1955744826033532
2024-04-04,0.19460148669901378
2024-04-05,0.2008525276395299
2024-04-08,0.19919469009200633
2024-04-09,0.19738662717952507
2024-04-10,0.19989909978735076
2024-04-11,0.19925923305333834
2024-04-12,0.19361601399954204
2024-04-15,0.2053412181719153
2024-04-16,0.20222177983567463
2024-04-17,0.1956450201925945
2024-04-18,0.1950457115627237
2024-04-19,0.15717253390168903
2024-04-22,0.15734484235292717
2024-04-23,0.16602844613505677
2024-04-24,0.16438488090402628
2024-04-25,0.15343429461679003
2024-04-26,0.15405679884033383
2024-04-29,0.1585696534221886
2024-04-30,0.15831114894456197
2024-05-01,0.1621484150626561
2024-05-02,0.16331418018220267
2024-05-03,0.19354437769088387
2024-05-06,0.19497408916193723
2024-05-07,0.18469178603320494
2024-05-08,0.1843169935871364
2024-05-09,0.18579360131445372
2024-05-10,0.18840826989096623
2024-05-13,0.18829364824851247
2024-05-14,0.1886637871128667
2024-05-15,0.18295624316281342
2024-05-16,0.1817320774561314
2024-05-17,0.17139371654646043
2024-05-20,0.17344264124144937
2024-05-21,0.17363564931251577
2024-05-22,0.1756563107383854
2024-05-23,0.1856997864987496
2024-05-24,0.18921223917689992
2024-05-28,0.1713900698441288
2024-05-29,0.1756869229201768
2024-05-30,0.17743172747930386
2024-05-31,0.17848091061547275
2024-06-03,0.1789633688598791
2024-06-04,0.1790511568173635
2024-06-05,0.17353874824377072
2024-06-06,0.17309742806808412
2024-06-07,0.1728447801584478
2024-06-10,0.17236553703087099
2024-06-11,0.1697621786193034
2024-06-12,0.1696725651772686
2024-06-13,0.16371431040156628
2024-06-14,0.1635324077419718
2024-06-17,0.130267245639861
2024-06-18,0.12501348976281257
2024-06-20,0.12519121438017208
2024-06-21,0.1247625956574901
2024-06-24,0.12221949352979572
2024-06-25,0.11755582190989217
2024-06-26,0.11900023842280363
2024-06-27,0.12000751615132099
2024-06-28,0.12395225102852152
2024-07-01,0.12487791647751754
2024-07-02,0.1235788684681029
2024-07-03,0.1169030491567174
2024-07-05,0.11709193519008827
2024-07-08,0.1153330196574313
2024-07-09,0.09981058286509886
2024-07-10,0.09538869422225969
2024-07-11,0.09691771109635569
2024-07-12,0.10179972443504885
2024-07-15,0.09956030536414218
2024-07-16,0.11118566504943984
2024-07-17,0.1194357021796729
2024-07-18,0.12308574980938257
2024-07-19,0.13031836607016817
2024-07-22,0.12791619399066767
2024-07-23,0.13039034800092683
2024-07-24,0.14030834407802872
2024-07-25,0.14074224041682673
2024-07-26,0.14060877834055907
2024-07-29,0.1464647087450401
2024-07-30,0.14649180371313783
2024-07-31,0.14682970773881351
2024-08-01,0.1453269502852504
2024-08-02,0.1472575792917871
2024-08-05,0.1496542732276635
2024-08-06,0.15711027215114134
2024-08-07,0.15668447019015644
2024-08-08,0.15603633396015035
2024-08-09,0.17526427644259568
2024-08-12,0.17156795004769032
2024-08-13,0.17045032248246178
2024-08-14,0.17659681263871038
2024-08-15,0.17627929665038714
2024-08-16,0.1834315872128107
2024-08-19,0.19083619179621886
2024-08-20,0.1920791660021219
2024-08-21,0.19455973562862042
2024-08-22,0.19702166492988196
2024-08-23,0.19241348162077868
2024-08-26,0.19282674096866653
2024-08-27,0.18574998083851485
