portfolio_type,expected_return,volatility,sharpe_ratio
Current,0.0570457673331214,0.2015203347615873,0.2830769778177005
Better Dynamic,0.3587662619981649,0.2045006167420819,1.754352958507916
Optimal,0.3587662619981649,0.2045006167420819,1.754352958507916
