metric,value
Sharpe Ratio Improvement vs Current (%),519.7441318020946
Return Improvement vs Current (%),528.909520846889
Volatility Difference vs Current (%),1.4788988833412202
Sharpe Ratio vs Optimal (%),0.0
Return vs Optimal (%),0.0
Volatility vs Optimal (%),0.0
