date,volatility
2023-12-18,0.10549671110838436
2023-12-19,0.1040682145027723
2023-12-20,0.10508229457965625
2023-12-21,0.1170927660368193
2023-12-22,0.12397590634669502
2023-12-26,0.11081058604842085
2023-12-27,0.1108557314887041
2023-12-28,0.1159286241090653
2023-12-29,0.11320017444357992
2024-01-02,0.10797392916346224
2024-01-03,0.10721890835248576
2024-01-04,0.10933222293608756
2024-01-05,0.10891088891441028
2024-01-08,0.11189185572327423
2024-01-09,0.11503578631185961
2024-01-10,0.11822163147679851
2024-01-11,0.11638389062515414
2024-01-12,0.11629472970414471
2024-01-16,0.11657529269260108
2024-01-17,0.12422083810870016
2024-01-18,0.1350186325333959
2024-01-19,0.13518764001038552
2024-01-22,0.13502712164728298
2024-01-23,0.13216505413305824
2024-01-24,0.138924412617625
2024-01-25,0.140473398913583
2024-01-26,0.14048614937117054
2024-01-29,0.14029560650008535
2024-01-30,0.1389205334764003
2024-01-31,0.1399293289181665
2024-02-01,0.14896022066174067
2024-02-02,0.14862176381440495
2024-02-05,0.14879398578525532
2024-02-06,0.1419314442782992
2024-02-07,0.14146185191092708
2024-02-08,0.1450247230302812
2024-02-09,0.14549466085701487
2024-02-12,0.13993832868273506
2024-02-13,0.13789480828996573
2024-02-14,0.1425677292684747
2024-02-15,0.15088704357860808
2024-02-16,0.14941268588906967
2024-02-20,0.14954161998567217
2024-02-21,0.1497899687886066
2024-02-22,0.1510538087575461
2024-02-23,0.1514348461252112
2024-02-26,0.153493739608514
2024-02-27,0.15290607481361806
2024-02-28,0.15454271447899262
2024-02-29,0.15612874434594062
2024-03-01,0.15062491915906548
2024-03-04,0.15333998690470185
2024-03-05,0.1632371051222392
2024-03-06,0.16526227123905912
2024-03-07,0.19339902525980607
2024-03-08,0.1922805640804098
2024-03-11,0.19296361849871754
2024-03-12,0.19683477131167398
2024-03-13,0.20299301234857342
2024-03-14,0.2021495085604412
2024-03-15,0.19637116070973573
2024-03-18,0.19628186858011404
2024-03-19,0.19300593342870323
2024-03-20,0.1919384357108466
2024-03-21,0.18798854265485723
2024-03-22,0.18984503477034062
2024-03-25,0.20005480590866592
2024-03-26,0.2001799583652049
2024-03-27,0.20032743618369817
2024-03-28,0.19537079389196202
2024-04-01,0.19118092411442486
2024-04-02,0.19018940890542585
2024-04-03,0.19557447805793193
2024-04-04,0.19460148739997776
2024-04-05,0.20085252543938947
2024-04-08,0.1991946865019148
2024-04-09,0.19738662210578828
2024-04-10,0.19989909391394153
2024-04-11,0.19925922982865316
2024-04-12,0.1936160054459126
2024-04-15,0.20534119757211086
2024-04-16,0.2022217579870847
2024-04-17,0.19564499762940818
2024-04-18,0.19504568813482417
2024-04-19,0.15717251352009745
2024-04-22,0.15734482315490977
2024-04-23,0.16602842234002055
2024-04-24,0.1643848574371136
2024-04-25,0.1534342649641214
2024-04-26,0.15405677065303663
2024-04-29,0.15856961920837165
2024-04-30,0.15831111456698577
2024-05-01,0.16214838661527894
2024-05-02,0.16331415440833758
2024-05-03,0.19354435565755845
2024-05-06,0.19497406689577224
2024-05-07,0.18469176288911743
2024-05-08,0.1843169679602928
2024-05-09,0.18579357370536523
2024-05-10,0.18840824036930476
2024-05-13,0.18829361973655878
2024-05-14,0.18866375723384918
2024-05-15,0.18295621619473315
2024-05-16,0.18173204809396915
2024-05-17,0.17139369753027173
2024-05-20,0.17344261267312996
2024-05-21,0.17363561847981987
2024-05-22,0.17565628012829396
2024-05-23,0.18569975749320403
2024-05-24,0.1892122070882649
2024-05-28,0.17139005334322002
2024-05-29,0.175686908415658
2024-05-30,0.17743171039128242
2024-05-31,0.17848089348356133
2024-06-03,0.17896335350398082
2024-06-04,0.17905114063743033
2024-06-05,0.1735387353587368
2024-06-06,0.1730974205717908
2024-06-07,0.17284477511592297
2024-06-10,0.17236552695927243
2024-06-11,0.16976217069704452
2024-06-12,0.16967255781015322
2024-06-13,0.1637142972727093
2024-06-14,0.16353239287945695
2024-06-17,0.13026722707618518
2024-06-18,0.12501347988187983
2024-06-20,0.1251912062537156
2024-06-21,0.1247625887572047
2024-06-24,0.12221948885369012
2024-06-25,0.11755581996902975
2024-06-26,0.11900023991169616
2024-06-27,0.1200075191293944
2024-06-28,0.12395225228734483
2024-07-01,0.12487791929585952
2024-07-02,0.12357886330318786
2024-07-03,0.11690306350626357
2024-07-05,0.11709195126698559
2024-07-08,0.11533303687518774
2024-07-09,0.09981060250595712
2024-07-10,0.09538871694944971
2024-07-11,0.09691773906620883
2024-07-12,0.10179973071866703
2024-07-15,0.09956032246850897
2024-07-16,0.11118568269332116
2024-07-17,0.11943571549820423
2024-07-18,0.12308577615999364
2024-07-19,0.13031840390527602
2024-07-22,0.12791622953620468
2024-07-23,0.130390386490131
2024-07-24,0.14030837484101155
2024-07-25,0.14074227346200097
2024-07-26,0.14060881251574017
2024-07-29,0.14646472692963045
2024-07-30,0.1464918213843783
2024-07-31,0.14682972546389325
2024-08-01,0.14532696392868688
2024-08-02,0.14725759169458424
2024-08-05,0.14965428572174055
2024-08-06,0.15711027814804363
2024-08-07,0.1566844691821366
2024-08-08,0.1560363310191521
2024-08-09,0.17526428408337763
2024-08-12,0.17156796069521774
2024-08-13,0.17045033315101232
2024-08-14,0.17659681229255692
2024-08-15,0.1762792955148391
2024-08-16,0.18343158512627658
2024-08-19,0.1908362009782111
2024-08-20,0.19207917502305036
2024-08-21,0.19455974797882358
2024-08-22,0.19702167524319084
2024-08-23,0.1924134940644467
2024-08-26,0.19282674624151433
2024-08-27,0.1857499841513666
