returns,volatility,sharpe_ratio,trades,num_operations,return_improvement,volatility_change,sharpe_improvement,signature
0.10147492186922935,0.19290734918120733,0.5260293208109401,Buy JD 10.1%,1,77.88335254014314,-4.274003196385111,85.82554215139365,JD:10.0
0.07706663223825219,0.21648256408671598,0.35599463893721145,Buy NFLX 10.1%,1,35.09614650588434,7.424674724741517,25.758953287079063,NFLX:10.0
0.067749224257339,0.19538540330080703,0.3467465998626068,Buy RHHBY 10.1%,1,18.762930987226135,-3.0443237583603917,22.491983544353765,RHHBY:10.0
0.10058292340650558,0.1928926199831273,0.5214451616412478,Buy RHHBY 0.3%; Buy JD 9.8%,2,76.31969844623373,-4.281312234502709,84.20613838564324,JD:10.0|RHHBY:0.5
0.10002976729935015,0.1931836037270447,0.5177963624733153,Buy JD 9.8%; Buy REGN 0.3%,2,75.35002770388354,-4.136918000387876,82.91716064855184,JD:10.0|REGN:0.5
0.0997259431836569,0.19288259801844598,0.5170292406270875,Buy RHHBY 0.5%; Buy JD 9.6%,2,74.81743057262675,-4.286285412368252,82.64616656641269,JD:9.5|RHHBY:0.5
0.1001355327704388,0.19393606187520654,0.5163327119371628,Buy JD 9.5%; Buy NFLX 0.6%,2,75.53543229679845,-3.7635273203981154,82.40011027960773,JD:9.5|NFLX:0.5
0.09948730270441433,0.19282793495825037,0.5159382260975546,Buy UNH 0.3%; Buy JD 9.8%,2,74.39909895218794,-4.313410744543365,82.2607538937256,JD:10.0|UNH:0.5
0.09888673264479401,0.19280620625215386,0.5128814811877423,Buy UNH 0.4%; Buy JD 9.7%,2,73.3463125723357,-4.324193133390498,81.18092572139352,JD:9.5|UNH:0.5
0.0995402307977501,0.19440415700171737,0.5120272752031262,Buy JD 9.3%; Buy NFLX 0.8%,2,74.4918807598769,-3.531245487827432,80.87916822628742,JD:9.5|NFLX:1.0
0.09820167610984244,0.19287477324419028,0.5091473314942728,Buy JD 9.1%; Buy RHHBY 1.0%,2,72.14542322083898,-4.290168283179394,79.86179698880936,JD:9.0|RHHBY:1.0
0.09900349484453455,0.19483188141372432,0.5081483283236444,Buy NFLX 1.0%; Buy JD 9.1%,2,73.55099419373744,-3.3189967276304113,79.50888832298291,JD:9.0|NFLX:1.0
0.09796868946394735,0.19358718291709112,0.5060701229683426,Buy JD 9.4%; Buy REGN 0.6%,2,71.73700264848996,-3.936650771480499,78.77473982294201,JD:9.5|REGN:0.5
0.0968097194177351,0.19467747176732814,0.49728260049236084,Buy RHHBY 0.7%; Buy NFLX 0.9%; Buy JD 8.4%,3,69.7053531185744,-3.3956190926160166,75.67045254528706,JD:8.5|NFLX:1.0|RHHBY:0.5
0.09612077885740349,0.19382077332661612,0.4959260929963685,Buy RHHBY 1.2%; Buy JD 8.3%; Buy NFLX 0.5%,3,68.4976551542379,-3.8207367076023977,75.19125161312874,JD:8.5|NFLX:0.5|RHHBY:1.0
0.09586822868286606,0.19353176366220484,0.4953617270299714,Buy RHHBY 1.4%; Buy JD 8.3%; Buy NFLX 0.3%,3,68.0549401375246,-3.9641513485120115,74.99188323663624,JD:8.5|NFLX:0.5|RHHBY:1.5
0.09690661691068815,0.19564845543408463,0.49530990007399617,Buy RHHBY 0.3%; Buy JD 8.3%; Buy NFLX 1.4%,3,69.87521233680997,-2.9137899670030616,74.97357480436614,JD:8.5|NFLX:1.5|RHHBY:0.5
0.09545024740718348,0.19283162989347236,0.49499269108451704,Buy RHHBY 1.3%; Buy JD 8.5%; Buy UNH 0.3%,3,67.3222279634444,-4.311577214826896,74.86151730089013,JD:8.5|RHHBY:1.5|UNH:0.5
0.09566192089447344,0.19447015208818325,0.4919105573131612,Buy NFLX 0.8%; Buy RHHBY 1.1%; Buy JD 8.1%,3,67.69328702778667,-3.4984968887569403,73.77272023885114,JD:8.0|NFLX:1.0|RHHBY:1.0
0.09493425645523802,0.19309444703701495,0.4916467454760092,Buy JD 8.2%; Buy RHHBY 1.7%; Buy REGN 0.2%,3,66.41770693773991,-4.181160031917701,73.67952585647497,JD:8.0|RHHBY:1.5
0.09601641069965036,0.19552180336570116,0.49107776752684024,Buy NFLX 1.4%; Buy RHHBY 0.6%; Buy JD 8.1%,3,68.3147000215058,-2.9766382490654455,73.47852824722857,JD:8.0|NFLX:1.5|RHHBY:0.5
0.09486583213627385,0.1932247340091867,0.4909611216324073,Buy JD 8.3%; Buy RHHBY 1.5%; Buy REGN 0.3%,3,66.29776058027133,-4.116508009407407,73.4373218244776,JD:8.5|REGN:0.5|RHHBY:1.5
0.09593601926700358,0.19578722461743475,0.49000142606066915,Buy NFLX 1.3%; Buy JD 8.4%; Buy REGN 0.5%,3,68.17377557149102,-2.844928835178913,73.09829899273963,JD:8.5|NFLX:1.5|REGN:0.5
0.09648550961309225,0.1951066644270727,0.4945269803900357,Buy JD 8.5%; Buy REGN 0.3%; Buy NFLX 1.0%; Buy RHHBY 0.3%,4,69.1370203136418,-3.1826417470186255,74.69699996532736,JD:8.5|NFLX:1.0|REGN:0.5|RHHBY:0.5
0.09601899657451747,0.19427428289090465,0.494244503933839,Buy JD 8.5%; Buy NFLX 0.5%; Buy RHHBY 0.7%; Buy REGN 0.4%,4,68.31923300445506,-3.5956926370381797,74.5972121045731,JD:8.5|NFLX:0.5|REGN:0.5|RHHBY:0.5
0.09529517730829196,0.19349078446059595,0.4925049922865895,Buy NFLX 0.4%; Buy RHHBY 1.0%; Buy JD 8.4%; Buy UNH 0.3%,4,67.05039341987998,-3.984486369126196,73.98271081702038,JD:8.5|NFLX:0.5|RHHBY:1.0|UNH:0.5
