returns,volatility,sharpe_ratio,trades,num_operations,buy_tickers,return_improvement,volatility_change,sharpe_improvement,category
0.10147492397182035,0.19290735159023278,0.5260293251413763,Buy JD 10.1%,1,JD,77.8833972776998,-4.273994655217107,85.82557230608873,Higher Return
0.08680683188243477,0.19259302534854245,0.4507267681440559,Buy UNH 2.4%; Buy JD 7.7%,2,"UNH,JD",52.1705418222314,-4.4299720985027795,59.22412618637263,Lower Volatility
0.08679933164141955,0.1925930256396704,0.4506878239911746,Buy JD 7.7%; Buy UNH 2.4%,2,"JD,UNH",52.157394058232484,-4.429971954036973,59.2103687413952,Lower Volatility
0.08677330281539118,0.1925930279276948,0.4505526692688402,Buy UNH 2.4%; Buy JD 7.7%,2,"UNH,JD",52.11176607626562,-4.42997081865548,59.16262386781632,Lower Volatility
0.08672021352594728,0.1925930387438426,0.45027698867812693,Buy UNH 2.4%; Buy JD 7.7%,2,"UNH,JD",52.0187016737935,-4.429965451381439,59.06523670498238,Lower Volatility
0.08671131514612421,0.19259304136429994,0.45023077953322915,Buy JD 7.7%; Buy UNH 2.4%,2,"JD,UNH",52.00310300201095,-4.429964151037454,59.04891282267012,Lower Volatility
0.0869358992378993,0.19259304614434922,0.4513968753198935,Buy JD 7.7%; Buy UNH 2.4%,2,"JD,UNH",52.39679416881167,-4.429961779043756,59.46084882426543,Lower Volatility
0.08700408654402106,0.19259307682256702,0.4517508520006488,Buy JD 7.7%; Buy UNH 2.4%,2,"JD,UNH",52.516325075457345,-4.4299465556568975,59.58589493127988,Lower Volatility
0.08662321991823957,0.19259307981688256,0.4497732732692208,Buy UNH 2.4%; Buy JD 7.6%,2,"UNH,JD",51.84867392922422,-4.429945069794054,58.88729376593764,Lower Volatility
0.08708346215423979,0.19259312968258074,0.4521628694531575,Buy UNH 2.4%; Buy JD 7.7%,2,"UNH,JD",52.655468842745314,-4.42992032504456,59.73144457129652,Lower Volatility
0.08651593387628531,0.1925931573346128,0.44921603173041025,Buy JD 7.6%; Buy UNH 2.5%,2,"JD,UNH",51.66060376492825,-4.429906603335428,58.69044214015734,Lower Volatility
